text	category	star_rating	sentiment	template	action
I subscribed for the artificial intelligence coverage and the weekly digest was an engaging and captivating read.	Media & Publishing	5	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was an engaging and captivating read
I visited a mountain lodge in the Alps and the spa treatment met basic expectations.	Travel & Vacation	3	neutral	I visited {location} and the {aspect} {action}.	met basic expectations
The editorial quality of the podcast transcript delivered exceptional storytelling. Worth subscribing just for this.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	delivered exceptional storytelling
As a long-time fan of the genre, I think this podcast transcript was beautifully written and polished.	Media & Publishing	4	positive	As a {reader_type}, I think this {media_type} {action}.	was beautifully written and polished
I subscribed for the global economics coverage and the digital edition kept me hooked from start to finish.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	kept me hooked from start to finish
I picked up weekly digest by an independent journalist and it offered fresh and insightful content.	Media & Publishing	4	positive	I picked up {media_type} by {creator} and it {action}.	offered fresh and insightful content
We booked a last-minute deal online and the beach access ruined the entire vacation.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	ruined the entire vacation
For anyone interested in space exploration, this weekly digest was clickbait with no real substance.	Media & Publishing	1	negative	For anyone interested in {topic}, this {media_type} {action}.	was clickbait with no real substance
The editorial quality of the digital edition neither impressed nor disappointed me. Take it or leave it.	Media & Publishing	3	neutral	The editorial quality of the {media_type} {action}. {recommendation}.	neither impressed nor disappointed me
Overall the flight experience was a complete disappointment. Whatever was available on short notice.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was a complete disappointment
This anthology about global economics was forgettable but not terrible. Decent enough to skim on a lazy afternoon.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	was forgettable but not terrible
Compared to other places, the customer service here was absolutely wonderful. Great for couples looking for a getaway.	Travel & Vacation	4	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	was absolutely wonderful
The latest digital edition from a major publishing house was a standard read with no surprises.	Media & Publishing	3	neutral	The latest {media_type} from {publisher} {action}.	was a standard read with no surprises
This podcast transcript about climate change was an engaging and captivating read. Only useful as a doorstop.	Media & Publishing	5	positive	This {media_type} about {topic} {action}. {recommendation}.	was an engaging and captivating read
After three days at a boutique hotel in Paris, I can say the room service was acceptable but unremarkable.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was acceptable but unremarkable
For a solo trip, the room service was a complete disappointment.	Travel & Vacation	1	negative	For a {trip_type} trip, the {aspect} {action}.	was a complete disappointment
I visited a countryside B&B in Tuscany and the pool area was spotless and well-maintained.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	was spotless and well-maintained
The tour guide was the worst I have ever seen, which really shaped our romantic experience.	Travel & Vacation	2	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	was the worst I have ever seen
The quarterly review offered fresh and insightful content. Every paragraph added something new.	Media & Publishing	4	positive	The {media_type} {action}. {detail}.	offered fresh and insightful content
I visited a boutique hotel in Paris and the spa treatment was a complete disappointment.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	was a complete disappointment
During our stay, the customer service was a truly memorable experience. Highly recommend for families.	Travel & Vacation	5	positive	During our stay, the {aspect} {action}. {recommendation}.	was a truly memorable experience
The beach access left us stranded without help. The photos online were misleading.	Travel & Vacation	2	negative	The {aspect} {action}. {detail}.	left us stranded without help
After a full week at a boutique hotel in Paris, I can say the check-in process was average overall.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was average overall
This digital edition about cultural history kept me hooked from start to finish. Worth subscribing just for this.	Media & Publishing	5	positive	This {media_type} about {topic} {action}. {recommendation}.	kept me hooked from start to finish
Overall the spa treatment was absolutely wonderful. A package deal for our anniversary and it delivered.	Travel & Vacation	4	positive	Overall the {aspect} {action}. {qualifier}.	was absolutely wonderful
I visited a mountain lodge in the Alps and the check-in process was average overall.	Travel & Vacation	3	neutral	I visited {location} and the {aspect} {action}.	was average overall
The check-in process provided outstanding service. There were both highs and lows during our stay.	Travel & Vacation	4	positive	The {aspect} {action}. {detail}.	provided outstanding service
The check-in process was spotless and well-maintained. It did the job but nothing stood out.	Travel & Vacation	5	positive	The {aspect} {action}. {detail}.	was spotless and well-maintained
As a regular subscriber, I think this newspaper was the worst publication I have read.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	was the worst publication I have read
During our stay, the check-in process was the worst I have ever seen. Skip this one and try somewhere else.	Travel & Vacation	1	negative	During our stay, the {aspect} {action}. {recommendation}.	was the worst I have ever seen
For a family trip, the spa treatment was dirty and poorly maintained.	Travel & Vacation	2	negative	For a {trip_type} trip, the {aspect} {action}.	was dirty and poorly maintained
During our stay, the airport transfer was a truly memorable experience. Worth every penny for the experience.	Travel & Vacation	5	positive	During our stay, the {aspect} {action}. {recommendation}.	was a truly memorable experience
We booked a last-minute deal online and the airport transfer was overpriced and underwhelming.	Travel & Vacation	2	negative	We booked {qualifier} and the {aspect} {action}.	was overpriced and underwhelming
The latest newsletter from a well-established media group neither impressed nor disappointed me.	Media & Publishing	3	neutral	The latest {media_type} from {publisher} {action}.	neither impressed nor disappointed me
I picked up quarterly review by the editorial board and it was misleading and full of bias.	Media & Publishing	1	negative	I picked up {media_type} by {creator} and it {action}.	was misleading and full of bias
We booked the cheapest option and it showed and the flight experience was dirty and poorly maintained.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was dirty and poorly maintained
The podcast transcript was beautifully written and polished. It is a solid choice for beginners.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	was beautifully written and polished
During our stay, the flight experience was nothing special. It depends on what you are looking for.	Travel & Vacation	3	neutral	During our stay, the {aspect} {action}. {recommendation}.	was nothing special
After a weekend at a boutique hotel in Paris, I can say the flight experience was decent for the price.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was decent for the price
We booked whatever was available on short notice and the breakfast buffet was nothing special.	Travel & Vacation	3	neutral	We booked {qualifier} and the {aspect} {action}.	was nothing special
During our stay, the customer service was a complete disappointment. There are comparable options in the area.	Travel & Vacation	2	negative	During our stay, the {aspect} {action}. {recommendation}.	was a complete disappointment
During our stay, the airport transfer was a complete disappointment. I would not recommend this to anyone.	Travel & Vacation	2	negative	During our stay, the {aspect} {action}. {recommendation}.	was a complete disappointment
The online journal kept me hooked from start to finish. The price-to-value ratio is fair.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	kept me hooked from start to finish
For anyone interested in cultural history, this digital edition wasted my time completely.	Media & Publishing	1	negative	For anyone interested in {topic}, this {media_type} {action}.	wasted my time completely
During our stay, the beach access met basic expectations. Might work for a short stay.	Travel & Vacation	3	neutral	During our stay, the {aspect} {action}. {recommendation}.	met basic expectations
The editorial quality of the magazine was a standout piece of journalism. Avoid unless you enjoy being frustrated.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	was a standout piece of journalism
The airport transfer at a safari camp in Kenya was a truly memorable experience. The whole place felt neglected.	Travel & Vacation	4	positive	The {aspect} at {location} {action}. {detail}.	was a truly memorable experience
As a casual reader, I think this digital edition was misleading and full of bias.	Media & Publishing	2	negative	As a {reader_type}, I think this {media_type} {action}.	was misleading and full of bias
For anyone interested in climate change, this online journal had some interesting parts but dragged.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	had some interesting parts but dragged
After reading the newsletter on technology trends, I found it was riddled with errors and typos. Some sections were stronger than others.	Media & Publishing	2	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	was riddled with errors and typos
The newspaper was riddled with errors and typos. There was nothing in it I had not read before.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	was riddled with errors and typos
The special report was misleading and full of bias. It read like an advertisement rather than journalism.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	was misleading and full of bias
The special report wasted my time completely. The writing was serviceable but not memorable.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	wasted my time completely
After three days at a safari camp in Kenya, I can say the check-in process was a truly memorable experience.	Travel & Vacation	5	positive	After {duration} at {location}, I can say the {aspect} {action}.	was a truly memorable experience
The newsletter felt lazy and poorly researched. It read like an advertisement rather than journalism.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	felt lazy and poorly researched
For anyone interested in space exploration, this weekly digest was clickbait with no real substance.	Media & Publishing	2	negative	For anyone interested in {topic}, this {media_type} {action}.	was clickbait with no real substance
After reading the weekly digest on health and wellness, I found it had zero editorial quality. The writing quality was surprisingly poor.	Media & Publishing	2	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	had zero editorial quality
After reading the newspaper on global economics, I found it delivered exceptional storytelling. It covered familiar ground competently.	Media & Publishing	4	positive	After reading the {media_type} on {topic}, I found it {action}. {detail}.	delivered exceptional storytelling
The podcast transcript offered fresh and insightful content. It fills a gap in the market.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	offered fresh and insightful content
The beach access at an all-inclusive in Cancun was overpriced and underwhelming. There were several issues during our stay.	Travel & Vacation	1	negative	The {aspect} at {location} {action}. {detail}.	was overpriced and underwhelming
I subscribed for the health and wellness coverage and the special report was clickbait with no real substance.	Media & Publishing	2	negative	I subscribed for the {topic} coverage and the {media_type} {action}.	was clickbait with no real substance
After reading the newspaper on artificial intelligence, I found it delivered exceptional storytelling. The writing quality was surprisingly poor.	Media & Publishing	5	positive	After reading the {media_type} on {topic}, I found it {action}. {detail}.	delivered exceptional storytelling
As a casual reader, I think this magazine was an engaging and captivating read.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	was an engaging and captivating read
Compared to other places, the pool area here fell far below expectations. Skip this one and try somewhere else.	Travel & Vacation	2	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	fell far below expectations
I picked up anthology by an independent journalist and it had some interesting parts but dragged.	Media & Publishing	3	neutral	I picked up {media_type} by {creator} and it {action}.	had some interesting parts but dragged
For a business trip, the tour guide fell far below expectations.	Travel & Vacation	1	negative	For a {trip_type} trip, the {aspect} {action}.	fell far below expectations
For anyone interested in cultural history, this newsletter was forgettable but not terrible.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	was forgettable but not terrible
Compared to other places, the airport transfer here ruined the entire vacation. Skip this one and try somewhere else.	Travel & Vacation	1	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	ruined the entire vacation
We booked a package deal for our anniversary and it delivered and the room service provided outstanding service.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	provided outstanding service
The weekly digest was the worst publication I have read. It had a few interesting points buried in filler.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	was the worst publication I have read
For a adventure trip, the breakfast buffet met basic expectations.	Travel & Vacation	3	neutral	For a {trip_type} trip, the {aspect} {action}.	met basic expectations
For a adventure trip, the tour guide was spotless and well-maintained.	Travel & Vacation	5	positive	For a {trip_type} trip, the {aspect} {action}.	was spotless and well-maintained
Compared to other places, the check-in process here ruined the entire vacation. Save your money and look elsewhere.	Travel & Vacation	2	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	ruined the entire vacation
After a full week at a countryside B&B in Tuscany, I can say the room service was acceptable but unremarkable.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was acceptable but unremarkable
I picked up special report by a well-known columnist and it felt lazy and poorly researched.	Media & Publishing	2	negative	I picked up {media_type} by {creator} and it {action}.	felt lazy and poorly researched
I visited a countryside B&B in Tuscany and the hotel room was spotless and well-maintained.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	was spotless and well-maintained
During our stay, the beach access was acceptable but unremarkable. There are comparable options in the area.	Travel & Vacation	3	neutral	During our stay, the {aspect} {action}. {recommendation}.	was acceptable but unremarkable
As a casual reader, I think this weekly digest was beautifully written and polished.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	was beautifully written and polished
I picked up weekly digest by a veteran reporter and it kept me hooked from start to finish.	Media & Publishing	5	positive	I picked up {media_type} by {creator} and it {action}.	kept me hooked from start to finish
The special report had zero editorial quality. Fact-checking seemed to be an afterthought.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	had zero editorial quality
I visited an all-inclusive in Cancun and the beach access made the whole trip worthwhile.	Travel & Vacation	4	positive	I visited {location} and the {aspect} {action}.	made the whole trip worthwhile
After three days at a safari camp in Kenya, I can say the resort amenities was a complete disappointment.	Travel & Vacation	1	negative	After {duration} at {location}, I can say the {aspect} {action}.	was a complete disappointment
I visited a safari camp in Kenya and the beach access was dirty and poorly maintained.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	was dirty and poorly maintained
This quarterly review about artificial intelligence wasted my time completely. Not worth the subscription price.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	wasted my time completely
The latest special report from a well-established media group neither impressed nor disappointed me.	Media & Publishing	3	neutral	The latest {media_type} from {publisher} {action}.	neither impressed nor disappointed me
During our stay, the resort amenities fell far below expectations. Save your money and look elsewhere.	Travel & Vacation	2	negative	During our stay, the {aspect} {action}. {recommendation}.	fell far below expectations
We booked through a trusted travel agent and the check-in process exceeded all my expectations.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	exceeded all my expectations
Overall the breakfast buffet was overpriced and underwhelming. Based on fake positive reviews.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was overpriced and underwhelming
We booked what was marketed as luxury but clearly was not and the flight experience exceeded all my expectations.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	exceeded all my expectations
For anyone interested in technology trends, this podcast transcript was a standard read with no surprises.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	was a standard read with no surprises
The newspaper had zero editorial quality. It is a solid choice for beginners.	Media & Publishing	2	negative	The {media_type} {action}. {qualifier}.	had zero editorial quality
This special report about cultural history was riddled with errors and typos. I cancelled my subscription after this.	Media & Publishing	1	negative	This {media_type} about {topic} {action}. {recommendation}.	was riddled with errors and typos
During our stay, the spa treatment was acceptable but unremarkable. Might work for a short stay.	Travel & Vacation	3	neutral	During our stay, the {aspect} {action}. {recommendation}.	was acceptable but unremarkable
The customer service was dirty and poorly maintained. The whole place felt neglected.	Travel & Vacation	1	negative	The {aspect} {action}. {detail}.	was dirty and poorly maintained
The editorial quality of the online journal wasted my time completely. Avoid unless you enjoy being frustrated.	Media & Publishing	1	negative	The editorial quality of the {media_type} {action}. {recommendation}.	wasted my time completely
The breakfast buffet felt like a dream come true. Every detail was thoughtfully arranged.	Travel & Vacation	4	positive	The {aspect} {action}. {detail}.	felt like a dream come true
The newspaper wasted my time completely. It had a few interesting points buried in filler.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	wasted my time completely
The latest anthology from a major publishing house was clickbait with no real substance.	Media & Publishing	2	negative	The latest {media_type} from {publisher} {action}.	was clickbait with no real substance
The breakfast buffet was dirty and poorly maintained. We had no complaints whatsoever.	Travel & Vacation	1	negative	The {aspect} {action}. {detail}.	was dirty and poorly maintained
During our stay, the customer service was spotless and well-maintained. Worth every penny for the experience.	Travel & Vacation	4	positive	During our stay, the {aspect} {action}. {recommendation}.	was spotless and well-maintained
Compared to other places, the beach access here was a truly memorable experience. I wish I had read the bad reviews first.	Travel & Vacation	4	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	was a truly memorable experience
The latest online journal from a major publishing house had zero editorial quality.	Media & Publishing	2	negative	The latest {media_type} from {publisher} {action}.	had zero editorial quality
After reading the newsletter on technology trends, I found it offered fresh and insightful content. The writing was serviceable but not memorable.	Media & Publishing	5	positive	After reading the {media_type} on {topic}, I found it {action}. {detail}.	offered fresh and insightful content
This quarterly review about space exploration was the worst publication I have read. I cancelled my subscription after this.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	was the worst publication I have read
For anyone interested in global economics, this quarterly review covered the basics adequately.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	covered the basics adequately
After a full week at a city hotel in Tokyo, I can say the flight experience was nothing special.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was nothing special
As a professional in the field, I think this magazine was a standout piece of journalism.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	was a standout piece of journalism
The airport transfer at an all-inclusive in Cancun ruined the entire vacation. It was about what you would expect for the price.	Travel & Vacation	2	negative	The {aspect} at {location} {action}. {detail}.	ruined the entire vacation
I subscribed for the cultural history coverage and the anthology was beautifully written and polished.	Media & Publishing	5	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was beautifully written and polished
After three days at an all-inclusive in Cancun, I can say the beach access met basic expectations.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	met basic expectations
The room service met basic expectations. Some things were good and others less so.	Travel & Vacation	3	neutral	The {aspect} {action}. {detail}.	met basic expectations
The flight experience at a cruise ship in the Caribbean was overpriced and underwhelming. Some things were good and others less so.	Travel & Vacation	2	negative	The {aspect} at {location} {action}. {detail}.	was overpriced and underwhelming
The weekly digest wasted my time completely. There was nothing in it I had not read before.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	wasted my time completely
Compared to other places, the spa treatment here was the worst I have ever seen. I wish I had read the bad reviews first.	Travel & Vacation	1	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	was the worst I have ever seen
The pool area ruined the entire vacation. There were several issues during our stay.	Travel & Vacation	2	negative	The {aspect} {action}. {detail}.	ruined the entire vacation
The editorial quality of the online journal was clickbait with no real substance. Only useful as a doorstop.	Media & Publishing	1	negative	The editorial quality of the {media_type} {action}. {recommendation}.	was clickbait with no real substance
This podcast transcript about space exploration provided real depth and nuance. I have already recommended it to friends.	Media & Publishing	5	positive	This {media_type} about {topic} {action}. {recommendation}.	provided real depth and nuance
We booked a package deal for our anniversary and it delivered and the flight experience made the whole trip worthwhile.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	made the whole trip worthwhile
We booked a last-minute deal online and the resort amenities was overpriced and underwhelming.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was overpriced and underwhelming
Compared to other places, the spa treatment here left us stranded without help. Save your money and look elsewhere.	Travel & Vacation	1	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	left us stranded without help
We booked the top-rated option on the site and the resort amenities was beautifully organized.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	was beautifully organized
We booked the cheapest option and it showed and the pool area fell far below expectations.	Travel & Vacation	2	negative	We booked {qualifier} and the {aspect} {action}.	fell far below expectations
The editorial quality of the online journal was an engaging and captivating read. Perfect for a long flight or commute.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	was an engaging and captivating read
During our stay, the room service was spotless and well-maintained. Worth every penny for the experience.	Travel & Vacation	4	positive	During our stay, the {aspect} {action}. {recommendation}.	was spotless and well-maintained
The latest magazine from an indie press wasted my time completely.	Media & Publishing	2	negative	The latest {media_type} from {publisher} {action}.	wasted my time completely
The spa treatment exceeded all my expectations. It was about what you would expect for the price.	Travel & Vacation	5	positive	The {aspect} {action}. {detail}.	exceeded all my expectations
This magazine about global economics wasted my time completely. I cancelled my subscription after this.	Media & Publishing	1	negative	This {media_type} about {topic} {action}. {recommendation}.	wasted my time completely
I picked up online journal by a team of investigators and it was riddled with errors and typos.	Media & Publishing	1	negative	I picked up {media_type} by {creator} and it {action}.	was riddled with errors and typos
As a casual reader, I think this podcast transcript was the worst publication I have read.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	was the worst publication I have read
I subscribed for the modern politics coverage and the anthology was a standout piece of journalism.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was a standout piece of journalism
This magazine about space exploration had zero editorial quality. It depends on your level of interest in the topic.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	had zero editorial quality
The editorial quality of the newsletter neither impressed nor disappointed me. It depends on your level of interest in the topic.	Media & Publishing	3	neutral	The editorial quality of the {media_type} {action}. {recommendation}.	neither impressed nor disappointed me
The latest quarterly review from a well-established media group was forgettable but not terrible.	Media & Publishing	3	neutral	The latest {media_type} from {publisher} {action}.	was forgettable but not terrible
For a family trip, the hotel room was beautifully organized.	Travel & Vacation	4	positive	For a {trip_type} trip, the {aspect} {action}.	was beautifully organized
I visited a boutique hotel in Paris and the breakfast buffet was dirty and poorly maintained.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	was dirty and poorly maintained
I subscribed for the cultural history coverage and the online journal was a standard read with no surprises.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	was a standard read with no surprises
I visited a city hotel in Tokyo and the tour guide was average overall.	Travel & Vacation	3	neutral	I visited {location} and the {aspect} {action}.	was average overall
I visited a boutique hotel in Paris and the pool area was dirty and poorly maintained.	Travel & Vacation	1	negative	I visited {location} and the {aspect} {action}.	was dirty and poorly maintained
During our stay, the flight experience was absolutely wonderful. Only book this if you have no other options.	Travel & Vacation	5	positive	During our stay, the {aspect} {action}. {recommendation}.	was absolutely wonderful
Compared to other places, the tour guide here felt like a dream come true. Worth every penny for the experience.	Travel & Vacation	4	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	felt like a dream come true
I visited a boutique hotel in Paris and the breakfast buffet was dirty and poorly maintained.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	was dirty and poorly maintained
For a solo trip, the room service was a complete disappointment.	Travel & Vacation	2	negative	For a {trip_type} trip, the {aspect} {action}.	was a complete disappointment
The editorial quality of the anthology had some interesting parts but dragged. Take it or leave it.	Media & Publishing	3	neutral	The editorial quality of the {media_type} {action}. {recommendation}.	had some interesting parts but dragged
The weekly digest was clickbait with no real substance. The arguments fell apart under any scrutiny.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	was clickbait with no real substance
As a regular subscriber, I think this newsletter had zero editorial quality.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	had zero editorial quality
Overall the check-in process was the worst I have ever seen. A mid-range option after comparing prices.	Travel & Vacation	1	negative	Overall the {aspect} {action}. {qualifier}.	was the worst I have ever seen
After reading the weekly digest on global economics, I found it had zero editorial quality. There was nothing in it I had not read before.	Media & Publishing	2	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	had zero editorial quality
This anthology about health and wellness was riddled with errors and typos. Save your money and skip this one.	Media & Publishing	1	negative	This {media_type} about {topic} {action}. {recommendation}.	was riddled with errors and typos
I subscribed for the space exploration coverage and the anthology was beautifully written and polished.	Media & Publishing	5	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was beautifully written and polished
During our stay, the tour guide was a truly memorable experience. Already planning our next visit.	Travel & Vacation	4	positive	During our stay, the {aspect} {action}. {recommendation}.	was a truly memorable experience
The latest newspaper from a university publisher was riddled with errors and typos.	Media & Publishing	2	negative	The latest {media_type} from {publisher} {action}.	was riddled with errors and typos
The beach access exceeded all my expectations, which really shaped our romantic experience.	Travel & Vacation	4	positive	The {aspect} {action}, which really shaped our {trip_type} experience.	exceeded all my expectations
This newsletter about modern politics offered fresh and insightful content. I have already recommended it to friends.	Media & Publishing	5	positive	This {media_type} about {topic} {action}. {recommendation}.	offered fresh and insightful content
The anthology kept me hooked from start to finish. Some sections were stronger than others.	Media & Publishing	4	positive	The {media_type} {action}. {detail}.	kept me hooked from start to finish
