text	category	star_rating	sentiment	template	action
After reading the quarterly review on artificial intelligence, I found it was a standout piece of journalism. The illustrations and layout were top-notch.	Media & Publishing	5	positive	After reading the {media_type} on {topic}, I found it {action}. {detail}.	was a standout piece of journalism
We booked through a trusted travel agent and the hotel room exceeded all my expectations.	Travel & Vacation	4	positive	We booked {qualifier} and the {aspect} {action}.	exceeded all my expectations
The latest magazine from a university publisher was the worst publication I have read.	Media & Publishing	1	negative	The latest {media_type} from {publisher} {action}.	was the worst publication I have read
The latest newspaper from a university publisher offered fresh and insightful content.	Media & Publishing	5	positive	The latest {media_type} from {publisher} {action}.	offered fresh and insightful content
The beach access made the whole trip worthwhile, which really shaped our adventure experience.	Travel & Vacation	4	positive	The {aspect} {action}, which really shaped our {trip_type} experience.	made the whole trip worthwhile
I subscribed for the technology trends coverage and the newspaper was forgettable but not terrible.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	was forgettable but not terrible
The quarterly review was clickbait with no real substance. It read like an advertisement rather than journalism.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	was clickbait with no real substance
The breakfast buffet was absolutely wonderful. There were both highs and lows during our stay.	Travel & Vacation	5	positive	The {aspect} {action}. {detail}.	was absolutely wonderful
I subscribed for the artificial intelligence coverage and the anthology was a standard read with no surprises.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	was a standard read with no surprises
The online journal delivered exceptional storytelling. Seasoned readers will find it painfully lacking.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	delivered exceptional storytelling
I visited a cruise ship in the Caribbean and the flight experience was beautifully organized.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	was beautifully organized
I picked up newspaper by a veteran reporter and it was the worst publication I have read.	Media & Publishing	1	negative	I picked up {media_type} by {creator} and it {action}.	was the worst publication I have read
I subscribed for the global economics coverage and the weekly digest delivered exceptional storytelling.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	delivered exceptional storytelling
For a romantic trip, the airport transfer was a truly memorable experience.	Travel & Vacation	4	positive	For a {trip_type} trip, the {aspect} {action}.	was a truly memorable experience
The editorial quality of the magazine wasted my time completely. It depends on your level of interest in the topic.	Media & Publishing	2	negative	The editorial quality of the {media_type} {action}. {recommendation}.	wasted my time completely
After reading the quarterly review on cultural history, I found it had zero editorial quality. It covered familiar ground competently.	Media & Publishing	1	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	had zero editorial quality
The spa treatment at a safari camp in Kenya was average overall. There were both highs and lows during our stay.	Travel & Vacation	3	neutral	The {aspect} at {location} {action}. {detail}.	was average overall
Compared to other places, the breakfast buffet here was nothing special. There are comparable options in the area.	Travel & Vacation	3	neutral	Compared to other places, the {aspect} here {action}. {recommendation}.	was nothing special
This podcast transcript about cultural history felt lazy and poorly researched. Not worth the subscription price.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	felt lazy and poorly researched
Overall the airport transfer was nothing special. A mid-range option after comparing prices.	Travel & Vacation	3	neutral	Overall the {aspect} {action}. {qualifier}.	was nothing special
After three days at a boutique hotel in Paris, I can say the room service was the worst I have ever seen.	Travel & Vacation	1	negative	After {duration} at {location}, I can say the {aspect} {action}.	was the worst I have ever seen
After a full week at a countryside B&B in Tuscany, I can say the spa treatment ruined the entire vacation.	Travel & Vacation	2	negative	After {duration} at {location}, I can say the {aspect} {action}.	ruined the entire vacation
Compared to other places, the hotel room here was nothing special. It depends on what you are looking for.	Travel & Vacation	3	neutral	Compared to other places, the {aspect} here {action}. {recommendation}.	was nothing special
The newspaper set a new standard for the genre. The price-to-value ratio is excellent.	Media & Publishing	4	positive	The {media_type} {action}. {qualifier}.	set a new standard for the genre
For anyone interested in health and wellness, this podcast transcript wasted my time completely.	Media & Publishing	1	negative	For anyone interested in {topic}, this {media_type} {action}.	wasted my time completely
This digital edition about global economics was the worst publication I have read. Only useful as a doorstop.	Media & Publishing	1	negative	This {media_type} about {topic} {action}. {recommendation}.	was the worst publication I have read
For a adventure trip, the pool area exceeded all my expectations.	Travel & Vacation	5	positive	For a {trip_type} trip, the {aspect} {action}.	exceeded all my expectations
The editorial quality of the weekly digest provided real depth and nuance. Worth subscribing just for this.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	provided real depth and nuance
Overall the flight experience exceeded all my expectations. Through a trusted travel agent.	Travel & Vacation	4	positive	Overall the {aspect} {action}. {qualifier}.	exceeded all my expectations
Compared to other places, the room service here was nothing special. Fine if you manage your expectations.	Travel & Vacation	3	neutral	Compared to other places, the {aspect} here {action}. {recommendation}.	was nothing special
I visited a boutique hotel in Paris and the flight experience was spotless and well-maintained.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	was spotless and well-maintained
I visited a boutique hotel in Paris and the customer service was decent for the price.	Travel & Vacation	3	neutral	I visited {location} and the {aspect} {action}.	was decent for the price
I subscribed for the space exploration coverage and the podcast transcript was an engaging and captivating read.	Media & Publishing	5	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was an engaging and captivating read
I visited a seaside resort in Bali and the beach access was absolutely wonderful.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	was absolutely wonderful
We booked the cheapest option and it showed and the airport transfer fell far below expectations.	Travel & Vacation	2	negative	We booked {qualifier} and the {aspect} {action}.	fell far below expectations
The tour guide was absolutely wonderful, which really shaped our business experience.	Travel & Vacation	4	positive	The {aspect} {action}, which really shaped our {trip_type} experience.	was absolutely wonderful
The latest online journal from a well-established media group was riddled with errors and typos.	Media & Publishing	2	negative	The latest {media_type} from {publisher} {action}.	was riddled with errors and typos
The online journal was forgettable but not terrible. It fills a gap in the market.	Media & Publishing	3	neutral	The {media_type} {action}. {qualifier}.	was forgettable but not terrible
We booked what was marketed as luxury but clearly was not and the tour guide was the worst I have ever seen.	Travel & Vacation	2	negative	We booked {qualifier} and the {aspect} {action}.	was the worst I have ever seen
I visited a cruise ship in the Caribbean and the hotel room was average overall.	Travel & Vacation	3	neutral	I visited {location} and the {aspect} {action}.	was average overall
Overall the spa treatment felt like a dream come true. A package deal for our anniversary and it delivered.	Travel & Vacation	4	positive	Overall the {aspect} {action}. {qualifier}.	felt like a dream come true
The anthology was the worst publication I have read. I could not get past the first chapter.	Media & Publishing	1	negative	The {media_type} {action}. {detail}.	was the worst publication I have read
We booked what was marketed as luxury but clearly was not and the breakfast buffet left us stranded without help.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	left us stranded without help
We booked based on fake positive reviews and the flight experience was absolutely wonderful.	Travel & Vacation	4	positive	We booked {qualifier} and the {aspect} {action}.	was absolutely wonderful
I subscribed for the cultural history coverage and the online journal was an engaging and captivating read.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was an engaging and captivating read
The digital edition was riddled with errors and typos. Fact-checking seemed to be an afterthought.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	was riddled with errors and typos
For anyone interested in climate change, this anthology had some interesting parts but dragged.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	had some interesting parts but dragged
This weekly digest about cultural history neither impressed nor disappointed me. Take it or leave it.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	neither impressed nor disappointed me
During our stay, the beach access was average overall. Might work for a short stay.	Travel & Vacation	3	neutral	During our stay, the {aspect} {action}. {recommendation}.	was average overall
This weekly digest about global economics delivered exceptional storytelling. It depends on your level of interest in the topic.	Media & Publishing	5	positive	This {media_type} about {topic} {action}. {recommendation}.	delivered exceptional storytelling
I visited a cruise ship in the Caribbean and the airport transfer fell far below expectations.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	fell far below expectations
Overall the hotel room was overpriced and underwhelming. The most expensive package but it was not worth it.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was overpriced and underwhelming
As a regular subscriber, I think this quarterly review was a standard read with no surprises.	Media & Publishing	3	neutral	As a {reader_type}, I think this {media_type} {action}.	was a standard read with no surprises
The editorial quality of the special report covered the basics adequately. Read it if you have nothing else on your list.	Media & Publishing	3	neutral	The editorial quality of the {media_type} {action}. {recommendation}.	covered the basics adequately
The podcast transcript delivered exceptional storytelling. The depth of analysis was remarkable.	Media & Publishing	5	positive	The {media_type} {action}. {detail}.	delivered exceptional storytelling
The newsletter neither impressed nor disappointed me. It had a few interesting points buried in filler.	Media & Publishing	3	neutral	The {media_type} {action}. {detail}.	neither impressed nor disappointed me
The special report was a standout piece of journalism. The price-to-value ratio is excellent.	Media & Publishing	4	positive	The {media_type} {action}. {qualifier}.	was a standout piece of journalism
I picked up special report by a veteran reporter and it was clickbait with no real substance.	Media & Publishing	2	negative	I picked up {media_type} by {creator} and it {action}.	was clickbait with no real substance
We booked a last-minute deal online and the breakfast buffet was average overall.	Travel & Vacation	3	neutral	We booked {qualifier} and the {aspect} {action}.	was average overall
The latest quarterly review from a major publishing house was riddled with errors and typos.	Media & Publishing	1	negative	The latest {media_type} from {publisher} {action}.	was riddled with errors and typos
For anyone interested in global economics, this digital edition was forgettable but not terrible.	Media & Publishing	3	neutral	For anyone interested in {topic}, this {media_type} {action}.	was forgettable but not terrible
The editorial quality of the quarterly review delivered exceptional storytelling. Perfect for a long flight or commute.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	delivered exceptional storytelling
This quarterly review about cultural history covered the basics adequately. Decent enough to skim on a lazy afternoon.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	covered the basics adequately
We booked a premium package and it was worth it and the pool area was overpriced and underwhelming.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was overpriced and underwhelming
Overall the hotel room was overpriced and underwhelming. Based on fake positive reviews.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was overpriced and underwhelming
The check-in process was acceptable but unremarkable, which really shaped our budget experience.	Travel & Vacation	3	neutral	The {aspect} {action}, which really shaped our {trip_type} experience.	was acceptable but unremarkable
The spa treatment was beautifully organized, which really shaped our adventure experience.	Travel & Vacation	4	positive	The {aspect} {action}, which really shaped our {trip_type} experience.	was beautifully organized
As a long-time fan of the genre, I think this weekly digest wasted my time completely.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	wasted my time completely
I picked up newsletter by an independent journalist and it was misleading and full of bias.	Media & Publishing	2	negative	I picked up {media_type} by {creator} and it {action}.	was misleading and full of bias
I picked up newspaper by the editorial board and it kept me hooked from start to finish.	Media & Publishing	5	positive	I picked up {media_type} by {creator} and it {action}.	kept me hooked from start to finish
Compared to other places, the customer service here ruined the entire vacation. Skip this one and try somewhere else.	Travel & Vacation	2	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	ruined the entire vacation
After reading the podcast transcript on global economics, I found it was beautifully written and polished. The depth of analysis was remarkable.	Media & Publishing	5	positive	After reading the {media_type} on {topic}, I found it {action}. {detail}.	was beautifully written and polished
As a regular subscriber, I think this special report delivered exceptional storytelling.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	delivered exceptional storytelling
Compared to other places, the flight experience here was decent for the price. Fine if you manage your expectations.	Travel & Vacation	3	neutral	Compared to other places, the {aspect} here {action}. {recommendation}.	was decent for the price
After two weeks at a countryside B&B in Tuscany, I can say the pool area was a truly memorable experience.	Travel & Vacation	4	positive	After {duration} at {location}, I can say the {aspect} {action}.	was a truly memorable experience
The airport transfer felt like a dream come true. I would come back in a heartbeat.	Travel & Vacation	4	positive	The {aspect} {action}. {detail}.	felt like a dream come true
The resort amenities fell far below expectations. We had no complaints whatsoever.	Travel & Vacation	1	negative	The {aspect} {action}. {detail}.	fell far below expectations
I visited a countryside B&B in Tuscany and the flight experience was the worst I have ever seen.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	was the worst I have ever seen
Overall the resort amenities was decent for the price. Whatever was available on short notice.	Travel & Vacation	3	neutral	Overall the {aspect} {action}. {qualifier}.	was decent for the price
During our stay, the check-in process was beautifully organized. Worth every penny for the experience.	Travel & Vacation	5	positive	During our stay, the {aspect} {action}. {recommendation}.	was beautifully organized
After reading the digital edition on modern politics, I found it was clickbait with no real substance. Fact-checking seemed to be an afterthought.	Media & Publishing	2	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	was clickbait with no real substance
The special report was the worst publication I have read. The price-to-value ratio is excellent.	Media & Publishing	1	negative	The {media_type} {action}. {qualifier}.	was the worst publication I have read
I visited a mountain lodge in the Alps and the room service provided outstanding service.	Travel & Vacation	4	positive	I visited {location} and the {aspect} {action}.	provided outstanding service
After reading the anthology on cultural history, I found it was the worst publication I have read. It changed the way I think about the subject.	Media & Publishing	1	negative	After reading the {media_type} on {topic}, I found it {action}. {detail}.	was the worst publication I have read
This newsletter about space exploration neither impressed nor disappointed me. Take it or leave it.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	neither impressed nor disappointed me
We booked a mid-range option after comparing prices and the spa treatment was acceptable but unremarkable.	Travel & Vacation	3	neutral	We booked {qualifier} and the {aspect} {action}.	was acceptable but unremarkable
For anyone interested in climate change, this quarterly review kept me hooked from start to finish.	Media & Publishing	4	positive	For anyone interested in {topic}, this {media_type} {action}.	kept me hooked from start to finish
The newsletter wasted my time completely. It is a solid choice for beginners.	Media & Publishing	2	negative	The {media_type} {action}. {qualifier}.	wasted my time completely
As a casual reader, I think this special report was clickbait with no real substance.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	was clickbait with no real substance
Overall the hotel room made the whole trip worthwhile. A package deal for our anniversary and it delivered.	Travel & Vacation	5	positive	Overall the {aspect} {action}. {qualifier}.	made the whole trip worthwhile
The podcast transcript offered fresh and insightful content. It is a solid choice for beginners.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	offered fresh and insightful content
The anthology was riddled with errors and typos. There are much better alternatives available.	Media & Publishing	2	negative	The {media_type} {action}. {qualifier}.	was riddled with errors and typos
Overall the hotel room was a complete disappointment. Whatever was available on short notice.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was a complete disappointment
I visited a seaside resort in Bali and the spa treatment provided outstanding service.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	provided outstanding service
The latest newsletter from a well-established media group wasted my time completely.	Media & Publishing	1	negative	The latest {media_type} from {publisher} {action}.	wasted my time completely
The airport transfer was a complete disappointment, which really shaped our romantic experience.	Travel & Vacation	2	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	was a complete disappointment
The magazine felt lazy and poorly researched. There was nothing in it I had not read before.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	felt lazy and poorly researched
I subscribed for the cultural history coverage and the newsletter neither impressed nor disappointed me.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	neither impressed nor disappointed me
For a budget trip, the pool area met basic expectations.	Travel & Vacation	3	neutral	For a {trip_type} trip, the {aspect} {action}.	met basic expectations
We booked whatever was available on short notice and the resort amenities was dirty and poorly maintained.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was dirty and poorly maintained
The quarterly review was beautifully written and polished. The depth of analysis was remarkable.	Media & Publishing	4	positive	The {media_type} {action}. {detail}.	was beautifully written and polished
For a solo trip, the check-in process ruined the entire vacation.	Travel & Vacation	1	negative	For a {trip_type} trip, the {aspect} {action}.	ruined the entire vacation
The weekly digest was beautifully written and polished. The depth of analysis was remarkable.	Media & Publishing	5	positive	The {media_type} {action}. {detail}.	was beautifully written and polished
After five nights at a cruise ship in the Caribbean, I can say the spa treatment left us stranded without help.	Travel & Vacation	2	negative	After {duration} at {location}, I can say the {aspect} {action}.	left us stranded without help
The anthology was beautifully written and polished. There are much better alternatives available.	Media & Publishing	4	positive	The {media_type} {action}. {qualifier}.	was beautifully written and polished
For a solo trip, the check-in process was a complete disappointment.	Travel & Vacation	2	negative	For a {trip_type} trip, the {aspect} {action}.	was a complete disappointment
Overall the airport transfer was average overall. Whatever was available on short notice.	Travel & Vacation	3	neutral	Overall the {aspect} {action}. {qualifier}.	was average overall
The editorial quality of the magazine kept me hooked from start to finish. A must-read for anyone in the field.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	kept me hooked from start to finish
The online journal was a standard read with no surprises. It had a few interesting points buried in filler.	Media & Publishing	3	neutral	The {media_type} {action}. {detail}.	was a standard read with no surprises
The editorial quality of the magazine set a new standard for the genre. I have already recommended it to friends.	Media & Publishing	4	positive	The editorial quality of the {media_type} {action}. {recommendation}.	set a new standard for the genre
The editorial quality of the newsletter was clickbait with no real substance. Save your money and skip this one.	Media & Publishing	1	negative	The editorial quality of the {media_type} {action}. {recommendation}.	was clickbait with no real substance
Overall the room service ruined the entire vacation. A package deal for our anniversary and it delivered.	Travel & Vacation	1	negative	Overall the {aspect} {action}. {qualifier}.	ruined the entire vacation
I subscribed for the space exploration coverage and the online journal was an engaging and captivating read.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was an engaging and captivating read
The flight experience was the worst I have ever seen, which really shaped our budget experience.	Travel & Vacation	2	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	was the worst I have ever seen
The beach access was dirty and poorly maintained, which really shaped our budget experience.	Travel & Vacation	1	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	was dirty and poorly maintained
We booked based on fake positive reviews and the breakfast buffet was a complete disappointment.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was a complete disappointment
The room service fell far below expectations, which really shaped our budget experience.	Travel & Vacation	1	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	fell far below expectations
After three days at a mountain lodge in the Alps, I can say the airport transfer was acceptable but unremarkable.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was acceptable but unremarkable
During our stay, the check-in process was dirty and poorly maintained. I tell everyone about this place.	Travel & Vacation	2	negative	During our stay, the {aspect} {action}. {recommendation}.	was dirty and poorly maintained
We booked the most expensive package but it was not worth it and the room service left us stranded without help.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	left us stranded without help
I subscribed for the cultural history coverage and the digital edition was riddled with errors and typos.	Media & Publishing	1	negative	I subscribed for the {topic} coverage and the {media_type} {action}.	was riddled with errors and typos
I picked up weekly digest by a first-time author and it set a new standard for the genre.	Media & Publishing	4	positive	I picked up {media_type} by {creator} and it {action}.	set a new standard for the genre
The latest podcast transcript from an online-only outlet was riddled with errors and typos.	Media & Publishing	1	negative	The latest {media_type} from {publisher} {action}.	was riddled with errors and typos
As a regular subscriber, I think this podcast transcript was the worst publication I have read.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	was the worst publication I have read
The digital edition was riddled with errors and typos. It is overpriced for what you actually get.	Media & Publishing	2	negative	The {media_type} {action}. {qualifier}.	was riddled with errors and typos
During our stay, the hotel room made the whole trip worthwhile. I tell everyone about this place.	Travel & Vacation	5	positive	During our stay, the {aspect} {action}. {recommendation}.	made the whole trip worthwhile
We booked what was marketed as luxury but clearly was not and the check-in process left us stranded without help.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	left us stranded without help
I picked up newspaper by a first-time author and it neither impressed nor disappointed me.	Media & Publishing	3	neutral	I picked up {media_type} by {creator} and it {action}.	neither impressed nor disappointed me
This newsletter about health and wellness covered the basics adequately. Decent enough to skim on a lazy afternoon.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	covered the basics adequately
Compared to other places, the airport transfer here was nothing special. There are comparable options in the area.	Travel & Vacation	3	neutral	Compared to other places, the {aspect} here {action}. {recommendation}.	was nothing special
I subscribed for the health and wellness coverage and the anthology was forgettable but not terrible.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	was forgettable but not terrible
The room service was beautifully organized. I would come back in a heartbeat.	Travel & Vacation	4	positive	The {aspect} {action}. {detail}.	was beautifully organized
We booked a package deal for our anniversary and it delivered and the pool area was beautifully organized.	Travel & Vacation	5	positive	We booked {qualifier} and the {aspect} {action}.	was beautifully organized
For anyone interested in health and wellness, this newsletter was an engaging and captivating read.	Media & Publishing	4	positive	For anyone interested in {topic}, this {media_type} {action}.	was an engaging and captivating read
The beach access at a cruise ship in the Caribbean met basic expectations. It was about what you would expect for the price.	Travel & Vacation	3	neutral	The {aspect} at {location} {action}. {detail}.	met basic expectations
Compared to other places, the tour guide here was overpriced and underwhelming. Skip this one and try somewhere else.	Travel & Vacation	2	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	was overpriced and underwhelming
This newsletter about technology trends neither impressed nor disappointed me. Take it or leave it.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	neither impressed nor disappointed me
The magazine kept me hooked from start to finish. The depth of analysis was remarkable.	Media & Publishing	5	positive	The {media_type} {action}. {detail}.	kept me hooked from start to finish
Overall the airport transfer exceeded all my expectations. Through a trusted travel agent.	Travel & Vacation	4	positive	Overall the {aspect} {action}. {qualifier}.	exceeded all my expectations
As a long-time fan of the genre, I think this magazine was an engaging and captivating read.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	was an engaging and captivating read
I subscribed for the modern politics coverage and the online journal was beautifully written and polished.	Media & Publishing	4	positive	I subscribed for the {topic} coverage and the {media_type} {action}.	was beautifully written and polished
The digital edition felt lazy and poorly researched. It read like an advertisement rather than journalism.	Media & Publishing	2	negative	The {media_type} {action}. {detail}.	felt lazy and poorly researched
After five nights at an all-inclusive in Cancun, I can say the airport transfer provided outstanding service.	Travel & Vacation	5	positive	After {duration} at {location}, I can say the {aspect} {action}.	provided outstanding service
The online journal was a standard read with no surprises. It had a few interesting points buried in filler.	Media & Publishing	3	neutral	The {media_type} {action}. {detail}.	was a standard read with no surprises
The latest weekly digest from a university publisher was clickbait with no real substance.	Media & Publishing	1	negative	The latest {media_type} from {publisher} {action}.	was clickbait with no real substance
During our stay, the check-in process made the whole trip worthwhile. I would not recommend this to anyone.	Travel & Vacation	4	positive	During our stay, the {aspect} {action}. {recommendation}.	made the whole trip worthwhile
For anyone interested in global economics, this podcast transcript was riddled with errors and typos.	Media & Publishing	2	negative	For anyone interested in {topic}, this {media_type} {action}.	was riddled with errors and typos
